7/27,Antoine ZEGHDAR,Rugby Sevens - Men,203,1
8/08,Anton DAHLBERG,Sailing - Mixed Dinghy,213,3
8/09,Anton KALLBERG,Table Tennis - Men's Team,278,2
8/10,ANTONIA,Football - Women,161,2
8/09,Antonino PIZZOLATO,Weightlifting - Men's 89kg,309,3
8/02,Antonios PAPAKONSTANTINOU,Rowing - Lightweight Men's Double Sculls,198,3
8/11,ANTROPOVA,Volleyball - Women,299,1
8/01,Apostolos CHRISTOU,Swimming - Men's 200m Backstroke,264,2
8/10,Arian SALIMI,Taekwondo - Men +80kg,283,1
7/30,Ariana RAMSEY,Rugby Sevens - Women,204,3
8/01,Arianna ERRIGO,Fencing - Women's Foil Team,155,2
8/03,Ariarne TITMUS,Swimming - Women's 800m Freestyle,244,2
7/29,Ariarne TITMUS,Swimming - Women's 200m Freestyle,242,2
8/01,Ariarne TITMUS,Swimming - Women's 4 x 200m Freestyle Relay,255,1
7/27,Ariarne TITMUS,Swimming - Women's 400m Freestyle,243,1
8/06,Arisa TREW,Skateboarding - Women's Park,232,1
8/04,Arlen LOPEZ CARDONA,Boxing - Men's 80kg,85,3
8/05,Armand DUPLANTIS,Athletics - Men's Pole Vault,34,1
8/09,Arnau TENAS,Football - Men,160,1
8/09,Arnaud KALIMUENDO,Football - Men,160,2
7/31,Aron SZILAGYI,Fencing - Men's Sabre Team,159,2
8/08,Arshad NADEEM,Athletics - Men's Javelin Throw,40,1
8/03,Artem DOLGOPYAT,Artistic Gymnastics - Men's Floor Exercise,7,2
8/07,Artur ALEKSANYAN,Wrestling - Men's Greco-Roman 97kg,316,2
8/04,Artur DAVTYAN,Artistic Gymnastics - Men's Vault,10,2
8/05,Arvin SLAGTER,Basketball 3x3 - Men,77,1
8/09,Asadkhuja MUYDINKHUJAEV,Boxing - Men's 71kg,84,1
7/29,Asher HONG,Artistic Gymnastics - Men's Team,13,3
7/30,Asia HOGAN-ROCHESTER,Rugby Sevens - Women,204,2
8/10,Atheyna Bibeichi BYLON,Boxing - Women's 75kg,93,2
7/29,Audrey GOGNIAT,Shooting - 10m Air Rifle Women,221,3
8/07,Audrey KWON,Artistic Swimming - Team,21,2
8/07,Augusto AKIO,Skateboarding - Men's Park,233,3
8/03,Aurelien DIESSE,Judo - Mixed Team,182,1
