Tamirat TOLA,Ethiopia,https://flagsapi.com/ET/flat/64.png,1,0,0
Sholto CARNEGIE,Great Britain,https://flagsapi.com/GB/flat/64.png,1,0,0
Morgan BOLDING,Great Britain,https://flagsapi.com/GB/flat/64.png,1,0,0
Lola ANDERSON,Great Britain,https://flagsapi.com/GB/flat/64.png,1,0,0
Lauren HENRY,Great Britain,https://flagsapi.com/GB/flat/64.png,1,0,0
Katerina SINIAKOVA,Czechia,https://flagsapi.com/CZ/flat/64.png,1,0,0
Harry BRIGHTMORE,Great Britain,https://flagsapi.com/GB/flat/64.png,1,0,0
Hannah SCOTT,Great Britain,https://flagsapi.com/GB/flat/64.png,1,0,0
Emily CRAIG,Great Britain,https://flagsapi.com/GB/flat/64.png,1,0,0
Charles ELWES,Great Britain,https://flagsapi.com/GB/flat/64.png,1,0,0
Jose TORRES GIL,Argentina,https://flagsapi.com/AR/flat/64.png,1,0,0
Ruggero TITA,Italy,https://flagsapi.com/IT/flat/64.png,1,0,0
Lydia KO,New Zealand,https://flagsapi.com/NZ/flat/64.png,1,0,0
Nina KENNEDY,Australia,https://flagsapi.com/AU/flat/64.png,1,0,0
SAKURAI Tsugumi,Japan,https://flagsapi.com/JP/flat/64.png,1,0,0
Sonja GREINACHER,Germany,https://flagsapi.com/DE/flat/64.png,1,0,0
Noemie FOX,Australia,https://flagsapi.com/AU/flat/64.png,1,0,0
Sam WELSFORD,Australia,https://flagsapi.com/AU/flat/64.png,1,0,0
Isayah BOERS,Netherlands,https://flagsapi.com/NL/flat/64.png,1,0,0
Finn FLORIJN,Netherlands,https://flagsapi.com/NL/flat/64.png,1,0,0
Frederic WANDRES,Germany,https://flagsapi.com/DE/flat/64.png,1,0,0
Portia WOODMAN-WICKLIFFE,New Zealand,https://flagsapi.com/NZ/flat/64.png,1,0,0
Geno PETRIASHVILI,Georgia,https://flagsapi.com/GE/flat/64.png,1,0,0
Georgina BRAYSHAW,Great Britain,https://flagsapi.com/GB/flat/64.png,1,0,0
Giovanni de GENNARO,Italy,https://flagsapi.com/IT/flat/64.png,1,0,0
GIOVANNINI,Italy,https://flagsapi.com/IT/flat/64.png,1,0,0
Giulia RIZZI,Italy,https://flagsapi.com/IT/flat/64.png,1,0,0
